geolocation_city                   geolocation_lat  geolocation_lng
itapema                            -27.102099       -48.629613         313
barueri                            -23.495901       -46.874687         189
                                   -23.490618       -46.869004         126
sao paulo                          -23.506049       -46.717377         125
rio de janeiro                     -23.005514       -43.375964         101
                                   -23.004582       -43.319899          88
                                   -22.965906       -43.389999          88
guarulhos                          -23.491895       -46.546294          81
barueri                            -23.509243       -46.886669          80
brasilia                           -15.841451       -48.024026          79
belo horizonte                     -19.924167       -43.916480          78
rio de janeiro                     -22.900338       -43.351661          75
sao bernardo do campo              -23.727641       -46.531065          69
osasco                             -23.557895       -46.813187          68
rio de janeiro                     -23.010875       -43.329820          65
sao paulo                          -23.537186       -46.594036          65
niteroi                            -22.905032       -43.114682          63
sao paulo                          -23.560673       -46.673407          63
rio de janeiro                     -22.964800       -43.173536          63
niteroi                            -22.907341       -43.103832          63
vila velha                         -20.376161       -40.305294          62
sao paulo                          -23.597141       -46.546975          61
                                   -23.657594       -46.698906          61
rio de janeiro                     -23.011056       -43.327929          60
sao paulo                          -23.555772       -46.639553          60
                                   -23.608349       -46.735364          57
sao bernardo do campo              -23.685577       -46.550598          57
sao paulo                          -23.673717       -46.734312          55
                                   -23.509848       -46.663690          54
niteroi                            -22.920809       -43.093688          53
rio de janeiro                     -22.885623       -43.290042          53
sao paulo                          -23.466590       -46.639282          53
taboao da serra                    -23.607693       -46.752658          50
sao paulo                          -23.686150       -46.693458          50
niteroi                            -22.904918       -43.097861          49
sao paulo                          -23.749818       -46.698764          49
capinopolis                        -18.682266       -49.568232          49
sao jose do rio preto              -20.773349       -49.333425          48
guarulhos                          -23.481971       -46.545726          48
sao bernardo do campo              -23.710808       -46.556180          47
sao goncalo                        -22.823414       -43.007846          47
osasco                             -23.535843       -46.764066          47
vila velha                         -20.366392       -40.301424          46
mogi das cruzes                    -23.454557       -46.082898          46
porto alegre                       -30.055615       -51.198919          46
sao paulo                          -23.567295       -46.587104          46
feira de santana                   -12.246333       -38.917294          45
rio de janeiro                     -22.978469       -43.233833          44
sao paulo                          -23.744095       -46.706749          44
osasco                             -23.535386       -46.760924          44
guarulhos                          -23.502387       -46.555342          44
sao caetano do sul                 -23.644491       -46.556242          44
rio de janeiro                     -22.883956       -43.280624          43
londrina                           -23.330416       -51.179504          43
diadema                            -23.687727       -46.583700          43
santana de parnaiba                -23.476970       -46.831300          42
sao bernardo do campo              -23.747860       -46.551072          42
santos                             -23.957704       -46.349922          42
curitiba                           -25.413097       -49.258480          42
sao bernardo do campo              -23.671956       -46.559181          42
guarulhos                          -23.433426       -46.512123          41
rio de janeiro                     -22.983499       -43.241949          41
osasco                             -23.559759       -46.775697          41
guarulhos                          -23.425946       -46.429406          40
niteroi                            -22.954498       -43.053358          40
sao paulo                          -23.584745       -46.584303          40
guarulhos                          -23.460543       -46.537624          40
rio de janeiro                     -22.914308       -43.183306          40
petropolis                         -22.384610       -43.133783          39
rio de janeiro                     -22.866961       -43.287703          39
sao carlos                         -21.969376       -47.890868          39
sao paulo                          -23.609132       -46.612587          39
rio de janeiro                     -22.955935       -43.180285          39
mogi das cruzes                    -23.542535       -46.166051          39
diadema                            -23.681037       -46.598185          38
niteroi                            -22.937960       -43.061038          38
sao paulo                          -23.616291       -46.464946          37
                                   -23.570810       -46.690775          37
rio de janeiro                     -22.924311       -43.252099          37
sao paulo                          -23.588182       -46.740833          37
belo horizonte                     -19.956617       -43.968436          36
sao paulo                          -23.554134       -46.638626          36
rio de janeiro                     -22.928531       -43.179402          36
guarulhos                          -23.444900       -46.540861          36
barreiras                          -12.147031       -44.996092          36
rio de janeiro                     -22.910488       -43.172642          36
sao paulo                          -23.586771       -46.748984          36
                                   -23.530247       -46.575653          36
                                   -23.596805       -46.577217          35
sao bernardo do campo              -23.719061       -46.544592          35
goiania                            -16.717211       -49.265681          35
votorantim                         -23.548420       -47.473887          35
osasco                             -23.566913       -46.810487          35
sao paulo                          -23.478461       -46.747800          35
rio de janeiro                     -23.004489       -43.368646          35
