geolocation_city,geolocation_lat,geolocation_lng,count
itapema,-27.102098999999946,-48.62961349999995,313
barueri,-23.495901469908656,-46.87468669635919,189
barueri,-23.490617505282756,-46.86900366603934,126
sao paulo,-23.506049208479613,-46.71737739541604,125
rio de janeiro,-23.00551425914832,-43.37596441256672,101
rio de janeiro,-23.004582245036413,-43.319899315692446,88
rio de janeiro,-22.965905556986492,-43.38999869671641,88
guarulhos,-23.49189491395926,-46.54629394463038,81
barueri,-23.50924262107987,-46.88666937892011,80
brasilia,-15.841450954140925,-48.024025688112914,79
belo horizonte,-19.92416706994057,-43.91647950666509,78
rio de janeiro,-22.90033770163407,-43.35166113942709,75
sao bernardo do campo,-23.72764065807836,-46.53106495908914,69
osasco,-23.55789512835748,-46.813187263845634,68
rio de janeiro,-23.010874576172984,-43.3298201858157,65
sao paulo,-23.53718574381104,-46.59403568082404,65
niteroi,-22.905032469083825,-43.11468244669432,63
sao paulo,-23.56067267277396,-46.673406848462086,63
rio de janeiro,-22.9648005,-43.17353550000001,63
niteroi,-22.907340864881377,-43.10383163437968,63
vila velha,-20.37616120906966,-40.30529402401848,62
sao paulo,-23.597141468780624,-46.546974738963605,61
sao paulo,-23.657594422076475,-46.6989063034577,61
rio de janeiro,-23.01105563445679,-43.32792926380635,60
sao paulo,-23.555771764343227,-46.639553016612446,60
sao paulo,-23.608349214265107,-46.73536441534424,57
sao bernardo do campo,-23.6855765211902,-46.550598331462254,57
sao paulo,-23.673717,-46.73431152943036,55
sao paulo,-23.509848068295792,-46.66369014308379,54
niteroi,-22.92080861944341,-43.09368761944342,53
rio de janeiro,-22.885622935628003,-43.290041970598296,53
sao paulo,-23.46658982202164,-46.63928171838316,53
taboao da serra,-23.607693000000005,-46.75265774999998,50
sao paulo,-23.686150211592487,-46.69345841828658,50
niteroi,-22.904917997266768,-43.09786062954351,49
sao paulo,-23.74981810254469,-46.69876375197105,49
capinopolis,-18.682265999999945,-49.568232499999965,49
sao jose do rio preto,-20.77334914021565,-49.3334250718373,48
guarulhos,-23.48197123535693,-46.54572594393789,48
sao bernardo do campo,-23.71080766395088,-46.556180165898496,47
sao goncalo,-22.823413750693327,-43.00784642095154,47
osasco,-23.535843212083293,-46.76406620886582,47
vila velha,-20.366392499999996,-40.301424,46
mogi das cruzes,-23.454556983128096,-46.08289846798539,46
porto alegre,-30.0556154274337,-51.1989189296554,46
sao paulo,-23.567295210891167,-46.58710430333021,46
feira de santana,-12.246333079167243,-38.9172937158474,45
rio de janeiro,-22.978469157654736,-43.23383336857298,44
sao paulo,-23.744095105250786,-46.70674882105016,44
osasco,-23.53538565178984,-46.76092361691542,44
guarulhos,-23.50238730030584,-46.55534163197529,44
sao caetano do sul,-23.64449057514244,-46.556241742632,44
rio de janeiro,-22.883956300242957,-43.28062369975704,43
londrina,-23.33041554754996,-51.17950350000001,43
diadema,-23.68772666723403,-46.58369967586103,43
santana de parnaiba,-23.47696974992788,-46.831300354434696,42
sao bernardo do campo,-23.747860451657655,-46.55107248203585,42
santos,-23.95770440328345,-46.34992238871249,42
curitiba,-25.413097180131548,-49.25848017040802,42
sao bernardo do campo,-23.67195566956539,-46.559180836442245,42
guarulhos,-23.43342619829973,-46.51212334325156,41
rio de janeiro,-22.983498829165363,-43.24194936275983,41
osasco,-23.559759219545228,-46.77569688219163,41
guarulhos,-23.425946339725343,-46.42940633972533,40
niteroi,-22.954498317216,-43.05335791391999,40
sao paulo,-23.58474495679707,-46.58430283693359,40
guarulhos,-23.460542549541238,-46.5376242732414,40
rio de janeiro,-22.91430804302037,-43.18330594823706,40
petropolis,-22.38461018133924,-43.13378290928159,39
rio de janeiro,-22.866961499999995,-43.28770275000001,39
sao carlos,-21.969376473950696,-47.89086773875321,39
sao paulo,-23.60913161896049,-46.61258745259877,39
rio de janeiro,-22.955934824122185,-43.18028472304647,39
mogi das cruzes,-23.54253479324119,-46.1660507932412,39
diadema,-23.681036531824944,-46.59818524811023,38
niteroi,-22.937959875419743,-43.06103789709287,38
sao paulo,-23.616291253983057,-46.4649462867267,37
sao paulo,-23.570810444514542,-46.69077501106554,37
rio de janeiro,-22.92431113015762,-43.25209888856826,37
sao paulo,-23.588181691095816,-46.74083315667377,37
belo horizonte,-19.95661690748416,-43.968436347881045,36
sao paulo,-23.554133985636884,-46.638626176820445,36
rio de janeiro,-22.92853103882622,-43.1794021767896,36
guarulhos,-23.444899533441067,-46.54086133389114,36
barreiras,-12.147030551377815,-44.99609163741842,36
rio de janeiro,-22.910488104074133,-43.17264165474055,36
sao paulo,-23.58677108062952,-46.7489837393856,36
