geolocation_lat  geolocation_lng  geolocation_city                 
-27.102099       -48.629613       itapema                              313
-23.495901       -46.874687       barueri                              189
-23.490618       -46.869004       barueri                              126
-23.506049       -46.717377       sao paulo                            125
-23.005514       -43.375964       rio de janeiro                       101
-22.965906       -43.389999       rio de janeiro                        88
-23.004582       -43.319899       rio de janeiro                        88
-23.491895       -46.546294       guarulhos                             81
-23.509243       -46.886669       barueri                               80
-15.841451       -48.024026       brasilia                              79
-19.924167       -43.916480       belo horizonte                        78
-22.900338       -43.351661       rio de janeiro                        75
-23.727641       -46.531065       sao bernardo do campo                 69
-23.557895       -46.813187       osasco                                68
-23.010875       -43.329820       rio de janeiro                        65
-23.537186       -46.594036       sao paulo                             65
-22.905032       -43.114682       niteroi                               63
-22.964800       -43.173536       rio de janeiro                        63
-22.907341       -43.103832       niteroi                               63
-23.560673       -46.673407       sao paulo                             63
-20.376161       -40.305294       vila velha                            62
-23.657594       -46.698906       sao paulo                             61
-23.597141       -46.546975       sao paulo                             61
-23.011056       -43.327929       rio de janeiro                        60
-23.555772       -46.639553       sao paulo                             60
-23.685577       -46.550598       sao bernardo do campo                 57
-23.608349       -46.735364       sao paulo                             57
-23.673717       -46.734312       sao paulo                             55
-23.509848       -46.663690       sao paulo                             54
-23.466590       -46.639282       sao paulo                             53
-22.885623       -43.290042       rio de janeiro                        53
-22.920809       -43.093688       niteroi                               53
-23.607693       -46.752658       taboao da serra                       50
-23.686150       -46.693458       sao paulo                             50
-22.904918       -43.097861       niteroi                               49
-23.749818       -46.698764       sao paulo                             49
-18.682266       -49.568232       capinopolis                           49
-23.481971       -46.545726       guarulhos                             48
-20.773349       -49.333425       sao jose do rio preto                 48
-22.823414       -43.007846       sao goncalo                           47
-23.535843       -46.764066       osasco                                47
-23.710808       -46.556180       sao bernardo do campo                 47
-23.454557       -46.082898       mogi das cruzes                       46
-30.055615       -51.198919       porto alegre                          46
-23.567295       -46.587104       sao paulo                             46
-20.366392       -40.301424       vila velha                            46
-12.246333       -38.917294       feira de santana                      45
-23.502387       -46.555342       guarulhos                             44
-23.535386       -46.760924       osasco                                44
-23.644491       -46.556242       sao caetano do sul                    44
-23.744095       -46.706749       sao paulo                             44
-22.978469       -43.233833       rio de janeiro                        44
-22.883956       -43.280624       rio de janeiro                        43
-23.687727       -46.583700       diadema                               43
-23.330416       -51.179504       londrina                              43
-23.747860       -46.551072       sao bernardo do campo                 42
-23.476970       -46.831300       santana de parnaiba                   42
-23.957704       -46.349922       santos                                42
-25.413097       -49.258480       curitiba                              42
-23.671956       -46.559181       sao bernardo do campo                 42
-23.433426       -46.512123       guarulhos                             41
-22.983499       -43.241949       rio de janeiro                        41
-23.559759       -46.775697       osasco                                41
-23.460543       -46.537624       guarulhos                             40
-22.914308       -43.183306       rio de janeiro                        40
-23.425946       -46.429406       guarulhos                             40
-23.584745       -46.584303       sao paulo                             40
-22.954498       -43.053358       niteroi                               40
-22.955935       -43.180285       rio de janeiro                        39
-23.609132       -46.612587       sao paulo                             39
-22.866961       -43.287703       rio de janeiro                        39
-22.384610       -43.133783       petropolis                            39
-21.969376       -47.890868       sao carlos                            39
-23.542535       -46.166051       mogi das cruzes                       39
-22.937960       -43.061038       niteroi                               38
-23.681037       -46.598185       diadema                               38
-23.570810       -46.690775       sao paulo                             37
-22.924311       -43.252099       rio de janeiro                        37
-23.616291       -46.464946       sao paulo                             37
-23.588182       -46.740833       sao paulo                             37
-19.956617       -43.968436       belo horizonte                        36
-22.928531       -43.179402       rio de janeiro                        36
-22.910488       -43.172642       rio de janeiro                        36
-23.554134       -46.638626       sao paulo                             36
-23.530247       -46.575653       sao paulo                             36
-12.147031       -44.996092       barreiras                             36
-23.444900       -46.540861       guarulhos                             36
-23.586771       -46.748984       sao paulo                             36
-23.719061       -46.544592       sao bernardo do campo                 35
-23.566913       -46.810487       osasco                                35
-23.478461       -46.747800       sao paulo                             35
-16.717211       -49.265681       goiania                               35
-23.548420       -47.473887       votorantim                            35
-23.004489       -43.368646       rio de janeiro                        35
-23.596805       -46.577217       sao paulo                             35
-23.688917       -46.552552       sao bernardo do campo                 34
-23.534811       -46.681020       sao paulo                             34
-22.850413       -43.313808       rio de janeiro                        34
-23.546081       -46.644820       sao paulo                             34
-23.448829       -46.548266       guarulhos                             34
-23.585302       -46.765730       sao paulo                             34
-23.690783       -46.699866       sao paulo                             34
-23.527040       -46.474421       sao paulo                             34
-23.619326       -46.700109       sao paulo                             34
-23.504336       -46.636140       sao paulo                             33
-23.555602       -46.737597       sao paulo                             33
-22.913349       -43.222789       rio de janeiro                        33
-23.531737       -46.392345       ferraz de vasconcelos                 33
-22.883009       -43.343405       rio de janeiro                        33
-16.709082       -49.264949       goiania                               33
-22.904357       -43.175095       rio de janeiro                        33
-23.609786       -46.757401       taboao da serra                       33
-15.832335       -48.038802       brasilia                              33
-23.009198       -43.429461       rio de janeiro                        33
-23.621550       -46.926833       cotia                                 33
-9.179158        -40.970131       casa nova                             33
-23.690464       -46.678134       sao paulo                             33
-22.906590       -43.177138       rio de janeiro                        32
-22.927726       -43.179373       rio de janeiro                        32
-10.026615       -56.478900       alta floresta                         32
-23.509648       -46.784630       osasco                                32
-23.480185       -46.644398       sao paulo                             32
-20.773647       -49.349700       sao jose do rio preto                 32
-23.500402       -46.723678       sao paulo                             32
-22.164643       -42.938176       sao jose do vale do rio preto         32
-22.907604       -43.063508       niteroi                               32
-23.515672       -46.802895       osasco                                32
-23.468541       -46.664361       sao paulo                             32
-23.663362       -46.682048       sao paulo                             32
-22.931927       -43.246650       rio de janeiro                        31
-23.003736       -43.321841       rio de janeiro                        31
-22.840242       -43.275470       rio de janeiro                        31
-23.694704       -46.511497       santo andre                           31
-22.863459       -43.097422       niteroi                               31
-23.010481       -43.332041       rio de janeiro                        31
-22.996689       -43.348304       rio de janeiro                        31
-23.624704       -46.586391       sao paulo                             31
-20.866535       -49.413325       sao jose do rio preto                 31
-23.601201       -46.549088       sao paulo                             31
-23.660297       -46.679511       sao paulo                             31
-23.669701       -46.676377       sao paulo                             31
-23.597950       -46.662359       sao paulo                             31
-23.473988       -46.875351       santana de parnaiba                   31
-23.510525       -46.861046       barueri                               31
-25.436333       -49.240560       curitiba                              31
-23.579053       -46.769004       sao paulo                             31
-23.699180       -46.524017       santo andre                           31
-23.641973       -46.660851       sao paulo                             30
-23.643560       -46.732275       sao paulo                             30
-23.625117       -46.719941       sao paulo                             30
-23.559575       -46.775822       osasco                                30
-23.615145       -46.778667       taboao da serra                       30
-23.001632       -43.393372       rio de janeiro                        30
-19.901570       -44.074886       contagem                              30
-22.675046       -46.977239       jaguariuna                            30
-23.491354       -46.542835       guarulhos                             30
-23.483810       -46.695282       sao paulo                             30
-22.490655       -41.923602       rio das ostras                        30
-23.531681       -46.542998       sao paulo                             30
-23.525509       -46.738243       sao paulo                             30
-23.528101       -46.558224       sao paulo                             30
-23.483785       -46.541554       guarulhos                             30
-23.551946       -46.595926       sao paulo                             29
-23.569748       -46.651004       sao paulo                             29
-23.680178       -46.691910       sao paulo                             29
-23.526951       -46.669823       sao paulo                             29
-23.601086       -46.549278       sao paulo                             29
-22.626466       -47.049628       holambra                              29
-23.587888       -46.739980       sao paulo                             29
-23.689300       -46.700658       sao paulo                             29
-23.614331       -46.780012       taboao da serra                       29
-23.257772       -45.825695       sao jose dos campos                   29
-23.537362       -46.654450       sao paulo                             29
-23.651107       -46.757533       sao paulo                             28
-23.547489       -46.235163       mogi das cruzes                       28
-23.546468       -46.317439       suzano                                28
-23.684097       -46.552800       sao bernardo do campo                 28
-23.526908       -46.650894       sao paulo                             28
-23.567787       -46.649099       sao paulo                             28
-23.533149       -46.760461       osasco                                28
-23.500442       -46.842716       barueri                               28
-23.503853       -46.554528       guarulhos                             28
-21.751399       -41.328380       campos dos goytacazes                 28
-23.591046       -46.510734       sao paulo                             28
-23.706622       -46.500337       santo andre                           28
-23.621399       -46.603521       sao paulo                             28
-23.619501       -46.676812       sao paulo                             28
-19.936099       -44.021539       belo horizonte                        28
-19.979424       -43.937490       nova lima                             28
-12.971805       -38.435101       salvador                              28
-22.892575       -43.219481       rio de janeiro                        28
-19.975516       -43.973112       belo horizonte                        27
-23.543370       -46.732274       sao paulo                             27
-23.435049       -46.400120       guarulhos                             27
-15.845121       -48.030910       brasilia                              27
-23.693105       -46.620718       diadema                               27
-23.185015       -46.970460       jundiai                               27
-23.574725       -46.605902       sao paulo                             27
-22.999789       -43.347523       rio de janeiro                        27
-22.904609       -43.115127       niteroi                               27
-23.533905       -46.760686       osasco                                27
-22.768425       -43.435400       nova iguacu                           27
-22.761233       -43.454732       nova iguacu                           27
-23.652802       -46.768284       sao paulo                             27
-21.174827       -47.827561       ribeirao preto                        27
-23.663797       -46.678596       sao paulo                             27
-23.584100       -46.779352       sao paulo                             27
-23.638307       -46.736733       sao paulo                             27
-23.492760       -46.693823       sao paulo                             27
-23.570554       -46.744694       sao paulo                             26
-23.471238       -46.537448       guarulhos                             26
-23.687858       -46.614962       diadema                               26
-23.701914       -46.688987       sao paulo                             26
-23.738801       -46.558257       sao bernardo do campo                 26
-31.765130       -52.330668       pelotas                               26
-22.920444       -43.231536       rio de janeiro                        26
-23.549392       -46.593002       sao paulo                             26
-12.940866       -38.429924       salvador                              26
-23.567195       -46.649761       sao paulo                             26
-23.654302       -46.690656       sao paulo                             26
-23.468899       -46.663345       sao paulo                             26
-23.481059       -46.646307       sao paulo                             26
-23.637621       -46.719062       sao paulo                             26
-12.139441       -38.422976       alagoinhas                            26
-25.544585       -49.303527       curitiba                              26
-12.947973       -38.384415       salvador                              26
-22.963099       -43.181566       rio de janeiro                        26
-23.466402       -46.658695       sao paulo                             26
-23.478156       -46.541651       guarulhos                             26
-22.867538       -43.381888       rio de janeiro                        26
-23.516669       -46.786375       osasco                                26
-23.683549       -46.634344       sao paulo                             26
-23.528264       -46.730174       sao paulo                             25
-15.843053       -48.030175       brasilia                              25
-23.602775       -46.553633       sao paulo                             25
-13.003843       -38.528395       salvador                              25
-15.841950       -48.021399       brasilia                              25
-22.819981       -43.003764       sao goncalo                           25
-23.592801       -46.545546       sao paulo                             25
-23.520162       -46.905567       barueri                               25
-23.660508       -46.689847       sao paulo                             25
-30.033868       -51.214573       porto alegre                          25
-23.731115       -46.559851       sao bernardo do campo                 25
-23.640078       -46.715056       sao paulo                             25
-23.664282       -46.691081       sao paulo                             25
-2.501042        -44.235076       sao luis                              25
-2.489167        -44.244563       sao luis                              25
-23.516589       -46.697486       sao paulo                             25
-22.835635       -43.009898       sao goncalo                           25
-23.443067       -46.708175       sao paulo                             25
-23.617639       -46.638981       sao paulo                             25
-23.005153       -43.379581       rio de janeiro                        25
-15.831507       -48.017061       brasilia                              25
-23.005458       -43.321693       rio de janeiro                        25
-23.551716       -46.545127       sao paulo                             25
-20.814446       -49.339213       sao jose do rio preto                 25
-23.541754       -46.719018       sao paulo                             25
-23.561681       -46.506271       sao paulo                             25
-23.457308       -46.513258       guarulhos                             24
-23.544951       -46.688307       sao paulo                             24
-23.656040       -46.762701       sao paulo                             24
-1.295271        -47.927425       castanhal                             24
-23.552407       -46.325878       suzano                                24
-23.623239       -46.744111       sao paulo                             24
-22.966139       -43.187686       rio de janeiro                        24
-23.733314       -46.558645       sao bernardo do campo                 24
-23.690307       -46.621303       diadema                               24
-23.526509       -46.731703       sao paulo                             24
