review_id                         review_comment_title        review_comment_message                                                                                                                                                                                              
00020c7512a52e92212f12d3e37513c0  Entrega rápida!             A entrega foi super rápida e o pendente é lindo! Igual a foto mesmo!                                                                                                                                                    1
00046a69550325aea5fb89f65c7387f2  SUPER RECOMENDO             GOSTEI DA CAPINHA DE CELULAR, VEIO COMO EU ESPERAVA.                                                                                                                                                                    1
000688fa7009b3c9fafe4950b37cbc81  Bom                         Meu sait preferido                                                                                                                                                                                                      1
00112b1cb3cd58339c91aad88df2b835  Entrega muito rápida        Nota 10 pela entrega.\r\nO produto não tem a cor exatamente preta, está mais para chumbo cobreado...                                                                                                                    1
00148610066c357531807daea5888a22  ENTREGA DENTRO DO PRAZO     ENTREGA DENTRO DO PRAZO..RECOMENDO!                                                                                                                                                                                     1
002155c71462b955916f9e3c1df7d376  Recomendo                   Fiquei muito satisfeita.                                                                                                                                                                                                1
002f100916fd5242e4ae510ca5c9c170  recomendo                   produto entregue no prazo e tem boa qualidade                                                                                                                                                                           1
00359b57348e32f42f35ff40257cd0e5  super recomendado           muito bom                                                                                                                                                                                                               1
004893658ab9d765ad52cc27c4a5593e  Bom                         Chegou antes do prazo, o material não é de tão boa qualidade na questão de acabamentos, mas no mais é ótimo                                                                                                             1
00503b4965ba711601df2b8cad998c88  Jogo de palavras cruzadas   O produto chegou em bom estado. Estou satisfeita.                                                                                                                                                                       1
0054fba4a2c8ddef00af2a4805eec53d  Falta de produto            Comprei duas cortinas porém só veio uma cortina na nota consta duas gostaria de saber o que vai ser feito porque isso é falta de respeito com o consumidor que compra e quer recebe aguardo retorno                     1
005fc7abaa7a67d3ce8f49aee64e2751  muito bom , dez .           muito rapido ,dentro do esperado .                                                                                                                                                                                      1
006af8ffdd34df679ebece5cb8c2107d  prazo                       Chegou antes do prazo previsto e em perfeito estado                                                                                                                                                                     1
006c4a3214f327318cf1553162ae0820  Decepcionou um pouco        Se eu não fosse tão fanático pediria meu dinheiro de volta..Cores fracas e apagadas..a imagem ficou boa..mas as cores são fracas e apagadas...                                                                          1
007164267b6300ac1b4e1d470ca49d3f  Recomendo                   Demorou um pouco a chagar o produto, mas foi dentro do prazo.                                                                                                                                                           1
0073ab5e971a35e8814d542798699fd6  O produto com defeito       Fiz a instalação como dizia no manual, porém o aparelho não funcionou.                                                                                                                                                  1
00746491b765e3f50289220ff155d161  Recomendo                   Entrega antes do prazo e produto conforme o anúncio. Recomendo.                                                                                                                                                         1
007f155f02008dd28da584c210767024  Produto divergente          Recebi um produto divergente, como efeito a troca?                                                                                                                                                                      1
00800678dcf28b0ea0caef2147b6945d  produto não entregue        Mudo minha opinião assim que receber o produto.\r\nConsta no site que o produto foi entregue, mas não recebi.                                                                                                           1
0090df4745ad9291c59dce29d4277f6f  Ótimo                       Gastei muito\r\n\r\n                                                                                                                                                                                                    1
0092dd245e39e68edf00d255a14a4e76  Recomendo.                  O produto é muito bom                                                                                                                                                                                                   1
009cfd7eae00f368bfeddd43d43dfce0  Prazo não cumprido          Houve atraso de 6 dias em relação ao informado e não houve atualização da data.                                                                                                                                         1
00ad4fa44e835cb48027fb1dcae1e173  Muito satisfeita!           Excelente a chave! Recomendo!                                                                                                                                                                                           1
00ae483894e7aae7ee28b3e95ce3a30b  recomendo                   A imagem da pintura é perfeita, igualzinha do anúncio. Porém, achei o material pouco resistente e não tem acabamento nas bordas das peças. Mas é lindo!                                                                 1
00b385c367ca681c5800956f540f62b8  Otimo                       \r\n\r\n                                                                                                                                                                                                                1
00c154d3a079672aab23c0ab34032f00  Excelente                   Entrega rápida.\r\n                                                                                                                                                                                                     1
00d02b97d681dfd7773b124e26b6d399  Produto não entregue        Bom dia,\r\nEstou no aguardo do meu produto já vai para 30 diastema nada.\r\nPreciso cancelar a compra                                                                                                                  1
00d2ce06a3d065f956720f6a134eb454  Otimo!                      Loja muito boa! Parabens!                                                                                                                                                                                               1
00d3cd9e7eb784993b1f056c9bcf5332  Ruim                        Comprei dermacol, na foto do produto aparece 1 mini bisnaga , o q dá a entender q é uma amostra do produto. Recebi uma base s/rótulo ou especificação,dentro de um recipiente redondo e não é Dermacol                  1
00d94c2f30e0ffaf2753319fc02c94a4  10                          Já conhecia o produto                                                                                                                                                                                                   1
00e9a7dc84b290f5db012a8a554f8186  Tudo perfeito               Chegou antes do prazo. Obrigado.                                                                                                                                                                                        1
00f4e871aa4c212a739df433c74353f9  Excelente!!                 Produto chegou antes do prazo e era exatamente o que eu estava procurando                                                                                                                                               1
00fe7ad9bd275095529b06d8d0bc3406  entrega rapida              Produto bom com entrega rapida mas veio 1 cabide quebrado.                                                                                                                                                              1
00ff0e3316917167e229ca397ae212ce  ótima                       recomendo sempre                                                                                                                                                                                                        1
